	TCGA.3C.AAAU.01	TCGA.3C.AALI.01	TCGA.3C.AALJ.01	TCGA.3C.AALK.01	TCGA.4H.AAAK.01	TCGA.5L.AAT0.01	TCGA.5T.A9QA.01	TCGA.A1.A0SB.01	TCGA.A1.A0SF.01	TCGA.A1.A0SG.01	TCGA.A1.A0SI.01	TCGA.A1.A0SN.01	TCGA.A1.A0SQ.01	TCGA.A2.A0CK.01	TCGA.A2.A0CO.01	TCGA.A2.A0CR.01	TCGA.A2.A0EP.01	TCGA.A2.A1FV.01	TCGA.A2.A1FW.01	TCGA.A2.A1FX.01	TCGA.A2.A1FZ.01	TCGA.A2.A1G0.01	TCGA.A2.A1G1.01	TCGA.A2.A1G4.01	TCGA.A2.A1G6.01	TCGA.A2.A259.01	TCGA.A2.A25A.01	TCGA.A2.A25B.01	TCGA.A2.A25C.01	TCGA.A2.A25D.01	TCGA.A2.A25E.01	TCGA.A2.A25F.01	TCGA.A2.A3KC.01	TCGA.A2.A3KD.01	TCGA.A2.A3XS.01	TCGA.A2.A3XT.01	TCGA.A2.A3XU.01	TCGA.A2.A3XV.01	TCGA.A2.A3XW.01	TCGA.A2.A3XX.01	TCGA.A2.A3XY.01	TCGA.A2.A3XZ.01	TCGA.A2.A3Y0.01	TCGA.A2.A4RW.01	TCGA.A2.A4RX.01	TCGA.A2.A4RY.01	TCGA.A2.A4S0.01	TCGA.A2.A4S1.01	TCGA.A2.A4S2.01	TCGA.A2.A4S3.01	TCGA.A7.A13D.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.A7.A13H.01	TCGA.A7.A26E.01	TCGA.A7.A26F.01	TCGA.A7.A26G.01	TCGA.A7.A26H.01	TCGA.A7.A26I.01	TCGA.A7.A26J.01	TCGA.A7.A2KD.01	TCGA.A7.A3IY.01	TCGA.A7.A3IZ.01	TCGA.A7.A3J0.01	TCGA.A7.A3J1.01	TCGA.A7.A3RF.01	TCGA.A7.A425.01	TCGA.A7.A426.01	TCGA.A7.A4SA.01	TCGA.A7.A4SB.01	TCGA.A7.A4SC.01	TCGA.A7.A4SD.01	TCGA.A7.A4SE.01	TCGA.A7.A4SF.01	TCGA.A7.A56D.01	TCGA.A7.A5ZV.01	TCGA.A7.A5ZW.01	TCGA.A7.A5ZX.01	TCGA.A7.A6VV.01	TCGA.A7.A6VW.01	TCGA.A7.A6VX.01	TCGA.A7.A6VY.01	TCGA.AC.A23C.01	TCGA.AC.A23E.01	TCGA.AC.A23G.01	TCGA.AC.A23H.01	TCGA.AC.A2B8.01	TCGA.AC.A2BK.01	TCGA.AC.A2BM.01	TCGA.AC.A2FB.01	TCGA.AC.A2FE.01	TCGA.AC.A2FF.01	TCGA.AC.A2FG.01	TCGA.AC.A2FK.01	TCGA.AC.A2FM.01	TCGA.AC.A2FO.01	TCGA.AC.A2QH.01	TCGA.AC.A2QI.01	TCGA.AC.A2QJ.01
MIMAT0000062	15.12484921	14.91684922	15.01364411	15.14330999	15.41359392	15.31488854	15.72094412	15.6029097	14.34190791	15.05258114	14.41114582	13.82984477	15.8192274	15.50074495	15.76337711	14.3567442	14.99931594	17.45967213	16.46274832	15.29858435	14.7401353	16.73709453	15.42031792	16.07938341	15.00009715	14.84847062	15.53936602	14.41626057	14.45419622	14.91747485	14.06710888	14.2636878	15.72387605	15.7748199	13.9915651	14.33680489	14.94439444	15.24432812	15.59056773	14.38371698	14.96388713	13.83722279	14.62794816	13.83982924	14.61883844	15.50602604	15.52817629	15.24556674	14.89119875	13.41086267	14.02105303	14.76836606	15.82159841	16.56919571	14.82589429	15.22846568	14.43409962	14.55042192	14.69893424	13.84078663	14.77494925	14.914954	14.68986852	16.93903833	15.55600503	15.29081492	15.86484393	14.43980332	14.35678939	14.07426343	15.32163956	14.80775746	14.07292822	14.15476765	13.61366415	14.13256457	14.13450363	15.11956095	15.22810789	15.40734137	14.25614927	15.60768133	14.89020941	14.78710728	14.26589281	15.75271125	14.39122501	15.24390737	14.97113404	15.46163179	15.9685442	15.82436583	15.30281277	15.1567948	15.62193785	16.57559416	15.66827163	15.64147269	16.89775714	15.00712616
MIMAT0000063	14.59142753	14.50995787	13.41778596	14.66523179	14.43644266	14.57485552	15.09559752	16.50204296	14.31906632	15.28940954	14.81225153	13.54491907	17.1407202	15.49527585	15.98450199	13.91610306	14.66442152	12.89980038	15.74225835	14.61480426	15.10160715	15.98235196	13.53076748	15.16196377	15.21846988	14.89578268	13.72110338	14.59232242	14.81737035	13.58950134	13.86385965	15.46025061	14.09713118	14.70372132	13.62570141	14.63783933	14.36294972	13.83074592	14.81454991	13.53942886	14.32261492	12.98055124	13.46963733	12.3881942	14.21410228	14.25363865	15.3340465	14.24112536	14.55984725	11.87850609	14.85711168	14.66575496	15.2920184	15.9662348	14.3535925	14.84784099	13.95964311	14.46832643	14.67637229	14.15141683	13.85312894	14.29045812	14.84791064	15.89398136	15.13717197	14.85562499	13.62966978	12.75455442	13.64878113	12.39336982	13.62416037	13.58139837	13.37369041	13.82340575	12.16674027	13.39523779	13.03250783	14.50365144	14.41569679	15.08935463	13.1452274	14.34251685	13.70204514	14.57621759	14.81691861	14.82760515	15.17081539	14.83202516	13.8660346	15.57344558	15.44751108	14.50074147	15.06587776	15.60797143	14.62898372	15.8113062	14.86238276	13.66225868	16.56844073	14.48843238
MIMAT0000064	8.401836981	9.638815709	9.304502919	11.5044346	11.68346814	11.13137938	9.188562451	13.34630863	11.8976544	10.97706968	11.4843807	10.37738244	9.694888943	11.58565443	11.65773637	11.4078802	11.81057219	11.27205913	10.92792163	10.55539666	11.72770794	11.99509906	9.892389006	10.35138191	12.92439033	11.76430111	12.16932322	10.16921897	11.48246266	10.7104145	10.26961058	11.82721509	11.91988425	11.7675544	11.74885609	9.894006191	15.85507745	10.83971689	13.00831854	11.24838909	11.45966298	10.91562254	10.8113234	10.41697302	10.43064783	12.16989867	8.574942348	11.76996507	10.41084664	9.935779715	9.991062395	11.94957887	10.2295281	10.57393029	11.33314182	11.91345464	11.37226198	11.76177928	10.69456903	11.33723824	11.03277179	11.17615737	10.60837439	10.26937234	8.789192705	11.51779859	8.604961923	11.38571528	11.42185125	10.22152455	10.14560832	11.13330817	11.77483724	11.1300232	8.99633093	10.56157768	12.79974806	12.26210864	11.80270939	10.62922501	11.25284188	10.10144224	10.98508087	11.41574312	11.19991841	12.2032784	9.21591783	11.9357301	10.84711496	10.86710862	12.09228491	12.46092334	12.94125151	11.96338887	12.77091791	11.51631391	12.90091179	13.2784634	11.76424323	13.00606063
MIMAT0000065	7.482534594	7.891342419	8.116467315	7.179989942	7.293011643	6.993267079	8.001243984	8.66377418	7.088880657	7.569093551	7.129299095	7.017546046	6.277033742	7.293034703	6.754465063	6.485821992	7.424718624	6.850438958	8.28602738	6.211544055	7.922953558	7.111582553	8.667179068	8.294583382	7.298807033	6.310883369	7.034689503	9.101842699	8.639777518	7.057170633	9.074628101	7.505336766	7.073217732	6.75453934	8.00294495	7.369513807	8.020943754	7.566668036	7.035249362	7.886254703	7.502341431	6.299745242	7.77234112	6.388783034	7.525980532	6.407274204	7.113367147	7.769507893	7.881139504	6.896153965	8.026350882	8.440746478	8.442354771	7.730179751	6.957875831	7.707197266	7.921609168	8.535623846	5.94060482	7.827491664	7.964509942	7.836936615	7.823329714	6.71163646	6.592238617	6.857492385	5.586840174	6.77249523	5.663873837	7.243715727	5.902708343	6.642168965	7.19784059	8.011559813	6.90555475	7.563030854	8.335132675	6.39771304	5.984116746	8.24940156	7.933030758	8.55254977	7.918770028	8.379122959	7.986722173	6.877266631	8.358918426	7.851865483	8.884313327	7.017707864	7.76115856	7.878639073	7.340686818	6.750571025	7.443809106	7.679952829	7.528379759	7.345007297	7.106909161	7.257391079
MIMAT0000066	10.49950172	9.12116158	11.38971896	10.35189204	10.72759478	9.694003864	11.12836448	9.305857115	9.265150899	9.974303289	9.069362665	8.058877097	9.702385857	9.2021669	9.362002839	8.616390298	9.94471618	10.40000769	11.8151194	9.685004904	10.0114602	10.98509559	9.798942	11.53834868	9.278725901	10.47150074	10.11871659	10.71850379	10.54424942	10.59845776	10.88588335	9.916858975	11.22216127	10.61172677	10.00616436	9.183964402	10.41094338	9.725337426	9.906100675	11.3503486	11.04874368	9.199240937	10.53652779	9.812492338	9.847128179	10.22662784	10.19820743	11.17188179	9.708502085	10.15000191	10.44171984	10.17515476	10.32696371	10.62333332	9.374418016	9.721649838	10.30595889	10.09131282	9.824315901	9.480964181	10.10641028	9.860439988	9.879575804	10.91710061	10.5625042	9.25231631	9.591660655	10.21572214	8.763178916	10.02103419	9.103135407	9.79944306	10.10369715	9.534110333	10.71774002	10.22039153	11.43187582	9.576714087	9.579708488	11.09097567	10.56308806	11.17441182	10.48427407	10.1587804	9.182718679	10.78948654	9.548409618	10.19238985	10.07703513	10.42038469	10.1503663	11.0878892	9.985823342	9.358522596	10.23382293	11.60696035	11.25187988	12.34535281	11.6566144	10.92419705
MIMAT0000067	11.82918416	12.68157048	13.53433166	12.65601706	13.01295634	12.87778425	12.93127634	12.44798797	12.01435082	12.46842938	11.78076387	11.4317648	11.78882308	12.24732864	12.35530597	12.14277211	12.72600829	13.16434854	13.94795479	12.87845737	11.91222951	14.45286394	13.99094086	13.72534	12.2858036	12.52233486	15.06997845	12.02907126	10.98155715	13.91769384	11.54214257	10.53632267	14.04588887	13.41123197	12.01676325	11.68078237	12.70188273	13.350535	12.98527312	12.25149886	12.85586788	11.26919244	12.12024299	12.35935151	12.18381148	13.52522964	12.10785181	13.5715909	12.56000914	12.00883735	11.99321195	12.62384592	13.56413007	14.02776926	12.4229202	12.63633392	12.38477648	12.17469801	12.7309718	11.59722302	12.60820016	12.25924248	11.76388776	13.67926255	12.60860314	12.62275366	10.29485558	13.23981949	12.35256115	13.04501423	12.21243357	13.22140454	12.02368495	11.978026	12.41534916	12.74794554	13.18771125	12.77964631	12.64591823	13.21924147	13.11518166	14.18033697	13.79625705	12.19850807	11.26683745	13.54311244	11.01081295	13.09441891	14.00388428	11.9827277	13.34081997	14.05508614	12.7485058	12.4370276	13.9322349	13.52265983	14.01578718	13.93238633	13.99299799	13.08233359
MIMAT0000068	7.08570351	6.976952832	8.185452807	7.340536065	7.445697996	8.045465901	8.534903839	6.570372452	6.026324332	6.534048185	6.249277763	6.413514718	5.383464795	7.874046122	6.982450865	7.24789479	7.992799265	7.040877109	7.082494452	8.258584859	7.052851825	6.363685336	7.602877022	8.984357412	5.828317938	4.364352988	6.73916956	6.625534636	5.877090715	5.828579893	5.896560318	6.682274637	8.110485296	7.548197439	7.46629565	8.001324047	6.999066181	7.504648395	6.746875397	6.837433004	7.355669072	6.418564686	7.346883403	7.174434662	8.355877592	8.073201247	8.281446329	9.268087169	7.689768462	8.844608823	7.004417678	7.251031306	7.344956942	6.664916343	6.957875428	6.522980114	7.291975342	6.460747272	7.398121357	6.38916495	6.938953522	7.153567843	7.378578069	7.84692687	7.745275397	7.741925821	7.54624023	8.215689273	7.459525413	7.998330335	7.620721837	8.255297244	7.863728658	7.642195049	7.824090488	7.810486717	8.787539047	7.268728537	7.022002849	7.179548414	7.054024544	6.571296324	6.714389654	6.709035625	6.739938759	7.358971758	6.862202054	6.671523553	7.360720473	7.183552573	6.966038381	6.899177328	6.35720474	5.609835561	5.230055738	7.586839581	5.838500541	7.067499429	6.855528988	8.005313013
MIMAT0000069	9.37245217	8.455025094	8.503026386	8.021101148	7.989316317	8.806887825	10.10396219	9.730288242	8.373853206	9.127640783	9.032289317	8.848707562	8.80319462	9.65764681	8.70921187	8.495822333	9.157413003	9.262236227	9.465407969	9.177748228	9.30827937	8.169230932	9.847029797	11.20414417	7.287563225	7.636165799	9.086218546	9.993629113	9.579578367	8.562312359	9.604659418	8.437089583	8.762616547	8.541353518	9.070493334	9.699611397	8.267849402	8.561309781	7.74591292	8.466802879	8.543470745	8.067904121	9.106641926	6.961803864	8.404102907	7.755758948	9.034522929	8.935986581	8.630102292	8.428828256	8.767450418	9.224073096	9.604706486	8.994733463	8.080585867	8.468519342	9.436947943	9.079730437	8.374063173	9.486744998	9.151197864	8.675631611	9.150638619	8.318802508	8.494013974	9.081037855	8.813789123	7.835981068	8.037840179	8.308143416	8.241930217	7.87578292	8.59118885	8.421553168	7.380986816	7.897777799	9.652769599	6.983781498	7.102119117	8.243168811	8.439646379	8.916229901	8.088074828	9.345835779	8.938183821	8.190110671	8.788055269	8.556543925	8.596886408	8.568805379	8.821414352	8.821526546	8.142000384	7.726501304	7.925226644	8.855992155	8.209874748	8.6992398	8.509538864	9.118695703
MIMAT0000089	0.247774584	2.206518136	0.524412155	2.481361887	2.994970959	1.473274861	1.906951362	3.758953447	2.727962425	0.7608	3.209341084	1.406933462	0.6936	1.030595839	0.493417152	1.182783162	1.699958758	0.4728	1.005569075	0	1.447005175	1.584071484	3.346684624	0.6279	3.633259808	1.565462815	0.913188265	2.853020733	2.422274155	0.7421	0.8866	0.9909	0.740742538	1.622470064	4.3964405	1.58710882	0.3475	0.5059	0	1.619124924	0.663780179	1.648783879	1.281986748	0.2784	4.404254508	1.89461168	0	0.3846	3.449255227	2.149250156	2.353191418	0	1.829043357	2.205510989	1.119823598	2.001899701	4.962646181	3.359539952	0.421694182	2.859854253	2.080977755	2.62068059	4.50810203	0	0.492731571	0.767323615	0	1.713936325	1.413926277	0.875423325	0.411899299	0.895221823	0.3943	3.60096001	0.967125649	3.383530087	0	2.633907014	1.20792442	4.682092072	3.998818046	2.273409052	2.395818823	3.114638827	4.152003959	3.55629591	1.230143415	2.758694475	4.235764025	0.90826705	2.982266949	1.841686053	0.900962077	1.765528916	2.904394109	0	0.98180262	1.314702709	0.776985341	0
MIMAT0000261	14.81179363	14.25571798	14.91274824	14.15383733	12.576777	14.16014892	12.88228839	13.01254557	15.00493692	14.35010563	13.21430807	12.95337809	15.47595999	12.76906087	12.34826474	12.8413724	10.13525029	14.89769639	14.12656816	12.35597349	14.71708454	13.33448867	15.20478382	14.21959275	11.44348076	12.9548919	15.2130737	14.64181185	15.07853206	13.83815759	14.19955388	12.09605973	12.75634737	12.20084125	13.51135616	12.89891439	12.74325918	13.31510274	11.10786665	13.45945863	12.49297319	14.24988998	14.64920979	15.81402025	12.20152221	13.36223624	14.69690489	9.29566339	13.32646013	13.75514717	15.20112675	15.15717442	13.11173032	11.47941394	13.23226031	14.29314847	14.66019158	13.43868849	14.10239251	15.39215737	13.46375956	11.62790465	12.72689397	13.99381852	13.53487937	11.33098113	13.81224351	14.92535739	13.38407054	15.47174029	13.85105426	12.06815304	15.47499488	14.66519734	15.60778882	12.58575969	13.8606924	12.68356612	13.90115996	13.39940417	14.69682725	12.13670285	13.88140483	13.98133933	13.04273017	11.90670564	14.00638996	13.11174283	12.88405168	12.65384267	12.44856194	13.21027721	14.02385671	13.45530102	12.78130969	14.28140727	14.24658851	10.88160885	13.90006849	10.38588623
